year,similarity,numSites
1968,0.19999999999999998,15
1969,0.19999999999999998,15
1970,0.19999999999999998,15
1971,0.22083333333333335,15
1972,0.1913978494623657,15
1973,0.20000000000000004,15
1974,0.2035087719298246,15
1975,0.2166666666666667,15
1976,0.21234567901234574,15
1977,0.23809523809523808,15
1978,0.25925925925925924,15
1979,0.1948717948717949,15
1980,0.21269841269841278,15
1981,0.22539682539682548,15
1982,0.22828282828282837,15
1983,0.24000000000000007,15
1984,0.20606060606060617,15
1985,0.2653061224489797,15
1986,0.2711111111111111,15
1987,0.25656565656565655,15
1988,0.2731182795698925,15
1989,0.262179487179487,15
1990,0.27471264367816123,15
1991,0.26948356807511753,15
1992,0.3010309278350512,15
1993,0.3990740740740735,15
1994,0.3953379953379949,15
1995,0.4314814814814808,15
1996,0.46147186147186087,15
1997,0.48235294117647104,15
1998,0.5305747126436768,15
1999,0.5907692307692305,15
2000,0.5950676213206006,15
2001,0.63228511530398,15
2002,0.6711111111111108,15
2003,0.7844827586206913,15
2004,0.7258215962441318,15
2005,0.7361904761904764,15
2006,0.7899782135076237,15
2007,0.7823266219239389,15
2008,0.7762267343485636,15
2009,0.8617933723196914,15
2010,0.9285285285285306,15
2011,0.9281412253374896,15
2012,0.9291542288557316,15
2013,0.9253745318352005,15
2014,0.9370184254606414,15
2015,0.9687583668005442,15
2016,0.9769731170154445,15
