year,similarity,numSites
1968,0.16666666666666677,6
1969,0.16666666666666666,6
1970,0.16666666666666669,6
1971,0.16666666666666663,6
1972,0.02150537634408602,6
1973,0.0,6
1974,0.0,6
1975,0.075,6
1976,0.1604938271604938,6
1977,0.1666666666666666,6
1978,0.16666666666666666,6
1979,0.16666666666666666,6
1980,0.1666666666666666,6
1981,0.1666666666666666,6
1982,0.16666666666666669,6
1983,0.1666666666666667,6
1984,0.16666666666666669,6
1985,0.24149659863945575,6
1986,0.27777777777777773,6
1987,0.1414141414141414,6
1988,0.18279569892473124,6
1989,0.15384615384615363,6
1990,0.15517241379310348,6
1991,0.16666666666666655,6
1992,0.1649484536082472,6
1993,0.16666666666666655,6
1994,0.16433566433566454,6
1995,0.16666666666666655,6
1996,0.16666666666666652,6
1997,0.16830065359477153,6
1998,0.16896551724137887,6
1999,0.1666666666666668,6
2000,0.16746221161495575,6
2001,0.1692872117400413,6
2002,0.18571428571428572,6
2003,0.46767241379310337,6
2004,0.3650234741784041,6
2005,0.38333333333333364,6
2006,0.4934640522875817,6
2007,0.4983221476510067,6
2008,0.4993654822335025,6
2009,0.6613060428849918,6
2010,0.8303303303303318,6
2011,0.8322949117341668,6
2012,0.832089552238786,6
2013,0.8322799625468196,6
2014,0.8972640982691259,6
2015,0.9651941097724296,6
2016,0.9711576142330957,6
