year,similarity,numSites
1968,0.24113475177304963,12
1969,0.24305555555555555,12
1970,0.25,12
1971,0.25,12
1972,0.30645161290322576,12
1973,0.32352941176470584,12
1974,0.3728070175438596,12
1975,0.3625,12
1976,0.3950617283950617,12
1977,0.39285714285714296,12
1978,0.4074074074074074,12
1979,0.4166666666666667,12
1980,0.47222222222222227,12
1981,0.4603174603174603,12
1982,0.4393939393939393,12
1983,0.4309523809523808,12
1984,0.414141414141414,12
1985,0.4268707482993198,12
1986,0.41666666666666674,12
1987,0.42171717171717155,12
1988,0.4032258064516127,12
1989,0.33894230769230754,12
1990,0.3290229885057471,12
1991,0.3345070422535209,12
1992,0.3419243986254292,12
1993,0.3333333333333331,12
1994,0.33449883449883466,12
1995,0.31944444444444425,12
1996,0.47943722943722933,12
1997,0.5625000000000004,12
1998,0.6692528735632172,12
1999,0.7384615384615386,12
2000,0.7400556881463803,12
2001,0.7505241090146753,12
2002,0.7531746031746032,12
2003,0.7805316091954031,12
2004,0.8227699530516419,12
2005,0.8279761904761893,12
2006,0.8273420479302817,12
2007,0.8207494407158868,12
2008,0.8315355329949262,12
2009,0.8221247563352833,12
2010,0.820570570570572,12
2011,0.830737279335412,12
2012,0.865422885572136,12
2013,0.8578534644194808,12
2014,0.8855667225013925,12
2015,0.9449255354752295,12
2016,0.9332823889019486,12
