year,similarity,numSites
1968,0.2727272727272728,11
1969,0.27272727272727265,11
1970,0.27272727272727265,11
1971,0.30113636363636354,11
1972,0.26099706744868023,11
1973,0.2727272727272726,11
1974,0.27751196172248793,11
1975,0.2909090909090908,11
1976,0.2895622895622894,11
1977,0.32467532467532456,11
1978,0.3535353535353536,11
1979,0.2657342657342656,11
1980,0.2727272727272726,11
1981,0.2727272727272726,11
1982,0.27548209366391174,11
1983,0.27272727272727265,11
1984,0.2727272727272726,11
1985,0.2949907235621523,11
1986,0.2848484848484848,11
1987,0.25895316804407703,11
1988,0.2815249266862169,11
1989,0.2657342657342662,11
1990,0.2821316614420064,11
1991,0.2778489116517288,11
1992,0.3074039362699158,11
1993,0.3636363636363634,11
1994,0.3680864589955507,11
1995,0.4116161616161613,11
1996,0.4462809917355366,11
1997,0.47727272727272696,11
1998,0.5382445141065815,11
1999,0.5447552447552456,11
2000,0.541549142981119,11
2001,0.5440251572327018,11
2002,0.5541125541125549,11
2003,0.7084639498432606,11
2004,0.6344430217669659,11
2005,0.650649350649351,11
2006,0.7225193107546073,11
2007,0.7257474069554593,11
2008,0.7261190586063784,11
2009,0.8139287612971822,11
2010,0.9054054054054034,11
2011,0.9082412914188628,11
2012,0.907010402532821,11
2013,0.9082609805924504,11
2014,0.9397289477691725,11
2015,0.9672553851770882,11
2016,0.9697112198875758,11
